num,wnum,ynum
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
7,5,6
4,1,3
20,1,16
22,0,16
17,4,16
5,1,5
13,5,13
19,11,18
9,5,1
14,10,4
18,16,4
15,13,2
13,5,10
18,13,14
16,16,13
8,5,7
10,8,7
10,8,10
4,0,3
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2,1,2
3,1,3
16,4,12
22,22,18
12,4,11
4,4,3
27,19,25
22,15,20
8,5,1
14,13,0
20,14,2
17,13,2
10,8,10
16,8,16
23,3,20
18,7,17
6,6,6
12,1,11
4,1,3
3,0,3
0,0,0
0,0,0
0,0,0
0,0,0
3,2,3
2,0,2
19,3,14
24,7,17
10,7,10
2,2,2
23,3,17
12,0,12
8,1,1
18,16,7
22,21,8
13,13,4
8,1,8
22,6,18
18,10,13
13,11,12
8,3,8
4,1,3
5,5,5
1,1,1
0,0,0
0,0,0
0,0,0
0,0,0
3,0,3
3,3,3
16,4,13
23,17,18
15,7,14
3,1,3
22,2,20
16,10,14
6,1,1
10,8,2
11,8,3
8,8,0
8,3,8
20,8,17
21,4,18
17,3,17
5,2,5
8,8,7
7,6,5
3,0,3
0,0,0
0,0,0
0,0,0
0,0,0
3,2,3
3,2,3
17,7,16
24,8,18
12,5,11
5,1,4
25,21,18
21,18,15
12,1,2
9,9,2
16,15,5
12,9,0
9,8,8
23,6,22
20,16,18
21,8,20
8,0,6
12,4,11
8,5,8
2,1,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
5,4,4
6,3,5
17,6,15
15,8,11
0,0,0
0,0,0
0,0,0
0,0,0
12,1,9
16,11,16
8,3,6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
12,12,12
16,5,13
11,1,0
0,0,0
0,0,0
0,0,0
0,0,0
7,4,5
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
